id,user,created_at,text,fav,RT,follower,follows,user_id,check
1270720330751860737,nonbirisan88,2020-06-10 14:11:50,RT @shiroi_suna_: 果たして新型コロナvirusはフェイクだったのか､ or 未知の人工virusが播かれたのか？大橋先生の言われる如く、このvirusの存在は確認されていない。しかし、２月から内閣や官僚達にアビガンが供給されていたことを考えると、何らかの (…,0,15,2691,2656,722395142,
1270719274198261760,scott_stll,2020-06-10 14:07:38,抗新型コロナウイルス薬としてトランプがお気に入りのヒドロキシクロロキンは、重大な副作用があるとの論文がランセットに載り、それが元でWHOもヒドロキシクロロキンを推奨しないとかいう事態となったが、この論文はデータがいい加減すぎて撤回された。新型コロナ周辺はフェイクまみれである。,0,0,332,1083,1606267076,
1270718523157778435,ahiru119,2020-06-10 14:04:39,RT @win_the_victory: 芸能人の殆どはコロナはフェイクと知ってる。志村けんさんの死をコロナと抱合せ、緊急事態宣言を国民を何となく納得させた。岡江久美子さんの死をコロナと抱合せ、緊急事態宣言に疲れて動き出した人間に対して、まだ緩むなと言った。芸能人はテレビにいい…,0,2,978,1328,101987838,
1270718338985979905,win_the_victory,2020-06-10 14:03:55,芸能人の殆どはコロナはフェイクと知ってる。志村けんさんの死をコロナと抱合せ、緊急事態宣言を国民を何となく納得させた。岡江久美子さんの死をコロナと抱合せ、緊急事態宣言に疲れて動き出した人間に対して、まだ緩むなと言った。芸能人はテレビにいいように扱われてるhttps://t.co/k1xt2VcoM4,5,2,381,412,1248011852841246720,
1270717434282905615,scott_stll,2020-06-10 14:00:19,フェイク数理モデル、フェイク論文、フェイクニュース。新型コロナはフェイクの総合商社だな(o^^o) https://t.co/uevNqPilHU,0,0,332,1083,1606267076,
1270716765027266562,Kounenpi_Onji,2020-06-10 13:57:40,RT @shiroi_suna_: 果たして新型コロナvirusはフェイクだったのか､ or 未知の人工virusが播かれたのか？大橋先生の言われる如く、このvirusの存在は確認されていない。しかし、２月から内閣や官僚達にアビガンが供給されていたことを考えると、何らかの (…,0,15,4,30,1270321332413034496,
1270714733557997574,oborozuki2011,2020-06-10 13:49:35,RT @shiroi_suna_: 果たして新型コロナvirusはフェイクだったのか､ or 未知の人工virusが播かれたのか？大橋先生の言われる如く、このvirusの存在は確認されていない。しかし、２月から内閣や官僚達にアビガンが供給されていたことを考えると、何らかの (…,0,15,1603,1798,374415458,
1270713904339972096,boysandgirlsbe,2020-06-10 13:46:18,RT @Tyo37lG96uhdr0O: @butagorilla2030 @MasaNono123 自然現象ではなかった。中国、ビル・ゲイツは共犯。今年は、年末までフェイク祭り。人類よ、恐れるな、フェイクに混乱するな、絶望するな。#コロナ#コロナはフ…,0,5,302,639,164533079,
1270713802187653120,raamentabetai2,2020-06-10 13:45:53,RT @shiroi_suna_: 果たして新型コロナvirusはフェイクだったのか､ or 未知の人工virusが播かれたのか？大橋先生の言われる如く、このvirusの存在は確認されていない。しかし、２月から内閣や官僚達にアビガンが供給されていたことを考えると、何らかの (…,0,15,1983,1978,720635695346294784,
1270713634834939904,KOBA1556,2020-06-10 13:45:13,コロナと言うと白けさせるし、フェイクに例えられる状況になりつつありますね。Twitterで少し喜ばれたもので…。良い夜を！ https://t.co/OMqddTwWnZ https://t.co/CrREKAUBhq,1,0,2200,113,348287058,
1270712652033961992,shiroi_suna_,2020-06-10 13:41:19,果たして新型コロナvirusはフェイクだったのか､ or 未知の人工virusが播かれたのか？大橋先生の言われる如く、このvirusの存在は確認されていない。しかし、２月から内閣や官僚達にアビガンが供給されていたことを考えると、何らかの (butインフルより弱い) virusがあったことは事実であろう。. https://t.co/eifsNRp3L8,35,15,6203,6752,1451044650,
